"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.533875816E0,-2.821426392E-1,3.047208786E-1,-3.051567078E-1
2.541870590E0,-2.905333042E-1,3.016762733E-1,-2.241477966E-1
2.549868134E0,-3.750360012E-1,3.610706329E-1,-1.175427437E-1
2.557861677E0,-3.992362022E-1,4.001026154E-1,-2.251863480E-2
2.565858683E0,-3.321495056E-1,3.855004311E-1,-3.842353821E-3
2.573884150E0,-2.716560364E-1,3.482384682E-1,-2.535963058E-2
2.581880155E0,-2.170274258E-1,3.414711952E-1,-1.064515114E-1
2.589875006E0,-2.116084099E-1,3.268337250E-1,-1.896634102E-1
2.597872243E0,-1.952602863E-1,3.431501389E-1,-2.394814491E-1
2.605865709E0,-1.516916752E-1,3.257098198E-1,-2.511835098E-1
2.613863945E0,-1.785647869E-1,3.176627159E-1,-2.198729515E-1
2.621857796E0,-1.944322586E-1,3.070058823E-1,-1.646552086E-1
2.629884264E0,-1.369030476E-1,2.358088493E-1,-1.119189262E-1
2.637879038E0,-1.071271896E-1,1.609001160E-1,-6.057310104E-2
2.645875966E0,-1.615102291E-1,9.435462952E-2,-7.265853882E-2
2.653872894E0,-2.582101822E-1,7.772445679E-2,-4.092645645E-2
2.661866131E0,-4.785444736E-1,2.894401550E-3,1.823472977E-2
2.669862752E0,-5.995694399E-1,-1.062874794E-1,9.301471710E-2
2.677858757E0,-6.067796946E-1,-2.525510788E-1,1.382761002E-1
2.685886146E0,-5.376081467E-1,-3.649086952E-1,1.143598557E-1
2.693879614E0,-4.227577448E-1,-4.225683212E-1,1.012754440E-2
2.701873850E0,-3.768279552E-1,-4.405555725E-1,-1.042718887E-1
2.709871009E0,-2.990180254E-1,-3.386259079E-1,-2.498774529E-1
2.717866706E0,-1.282134056E-1,-2.088136673E-1,-3.709168434E-1
2.725861789E0,-1.987314224E-2,-4.113006592E-2,-5.785241127E-1
2.733889794E0,1.142947674E-1,1.030511856E-1,-7.251605988E-1
2.741883414E0,2.083203793E-1,1.838788986E-1,-8.957953453E-1
2.749880035E0,1.469182968E-1,2.083783150E-1,-9.028735161E-1
2.757873579E0,5.335140228E-2,2.295837402E-1,-6.841850281E-1
2.765870738E0,-1.220074892E-1,2.929224968E-1,-3.496303558E-1
2.773864666E0,-3.754045963E-1,2.687478065E-1,7.756614685E-2
2.781861594E0,-3.707947731E-1,2.920093536E-1,3.614439964E-1
2.789886523E0,-2.295279503E-1,2.572526932E-1,4.944987297E-1
2.797881913E0,-1.395391226E-1,2.073450089E-1,4.964485168E-1
2.805880687E0,-1.725888252E-2,1.854429245E-1,6.455440521E-1
2.813873538E0,5.282497406E-2,3.095269203E-1,6.871490479E-1
2.821870544E0,2.225044966E-1,5.602283478E-1,7.552042007E-1
2.829865626E0,3.476456404E-1,8.078823090E-1,4.597573280E-1
2.837863708E0,5.457621813E-1,1.058518887E0,1.516027451E-1
2.845857636E0,7.017456293E-1,1.139275074E0,-1.382980347E-1
